,district,name,state
694,District 2,Yvette Herrell,New_Mexico
695,District 3,Ben Ray Lujan,New_Mexico
696,District 3,Jerald Steve McFall,New_Mexico
697,District 3,Christopher Manning,New_Mexico
698,District 1,Democratic,New_York
699,District 1,Republican,New_York
700,District 1,Conservative Party,New_York
701,District 1,Green Party,New_York
702,District 1,Independence Party,New_York
703,District 1,Reform Party,New_York
704,District 1,Women's Equality Party,New_York
705,District 1,Working Families Party,New_York
706,District 1,Lee Zeldin,New_York
707,District 1,Perry Gershon,New_York
708,District 1,Kate Browning,New_York
709,District 1,Patricia Latzman,New_York
710,District 1,Fusion voting,New_York
711,District 1,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
712,District 2,Democratic,New_York
713,District 2,Republican,New_York
714,District 2,Conservative Party,New_York
715,District 2,Green Party,New_York
716,District 2,Independence Party,New_York
717,District 2,Reform Party,New_York
718,District 2,Women's Equality Party,New_York
719,District 2,Working Families Party,New_York
720,District 2,Peter King,New_York
721,District 2,Liuba Grechen Shirley,New_York
722,District 2,Fusion voting,New_York
723,District 2,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
724,District 2,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
725,District 3,Democratic,New_York
726,District 3,Republican,New_York
727,District 3,Conservative Party,New_York
728,District 3,Green Party,New_York
729,District 3,Independence Party,New_York
730,District 3,Reform Party,New_York
731,District 3,Women's Equality Party,New_York
732,District 3,Working Families Party,New_York
733,District 3,Tom Suozzi,New_York
734,District 3,Dan DeBono,New_York
735,District 3,Josh Sauberman,New_York
736,District 3,Costa Michailidis,New_York
737,District 3,Fusion voting,New_York
738,District 3,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
739,District 3,"<img alt=""Darkred.png"" src=""https://cdn.ballotpedia.org/images/4/42/Darkred.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
740,District 4,Democratic,New_York
741,District 4,Republican,New_York
742,District 4,Conservative Party,New_York
743,District 4,Green Party,New_York
744,District 4,Independence Party,New_York
745,District 4,Reform Party,New_York
746,District 4,Women's Equality Party,New_York
747,District 4,Working Families Party,New_York
748,District 4,Kathleen Rice,New_York
749,District 4,Ameer Benno,New_York
750,District 4,Fusion voting,New_York
751,District 4,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
752,District 4,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
753,District 5,Gregory W. Meeks,New_York
754,District 6,Democratic,New_York
755,District 6,Republican,New_York
756,District 6,Conservative Party,New_York
757,District 6,Green Party,New_York
758,District 6,Independence Party,New_York
759,District 6,Reform Party,New_York
760,District 6,Women's Equality Party,New_York
761,District 6,Working Families Party,New_York
762,District 6,Grace Meng,New_York
763,District 6,Tom Hillgardner,New_York
764,District 6,Fusion voting,New_York
765,District 6,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
766,District 7,Democratic,New_York
767,District 7,Republican,New_York
768,District 7,Conservative Party,New_York
769,District 7,Green Party,New_York
770,District 7,Independence Party,New_York
771,District 7,Reform Party,New_York
772,District 7,Women's Equality Party,New_York
773,District 7,Working Families Party,New_York
774,District 7,Nydia Velazquez,New_York
775,District 7,Joseph Lieberman,New_York
776,District 7,Jeffrey Kurzon,New_York
777,District 7,Fusion voting,New_York
778,District 7,"<img alt=""Working Families Party"" src=""https://cdn.ballotpedia.org/images/6/63/Darkgreen.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
779,District 8,Democratic,New_York
780,District 8,Republican,New_York
781,District 8,Conservative Party,New_York
782,District 8,Green Party,New_York
783,District 8,Independence Party,New_York
784,District 8,Reform Party,New_York
785,District 8,Women's Equality Party,New_York
786,District 8,Working Families Party,New_York
787,District 8,Hakeem Jeffries,New_York
788,District 8,Ernest Johnson,New_York
789,District 8,Jessica White,New_York
790,District 8,Fusion voting,New_York
791,District 8,"<img alt=""Working Families Party"" src=""https://cdn.ballotpedia.org/images/6/63/Darkgreen.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
792,District 9,Democratic,New_York
793,District 9,Republican,New_York
794,District 9,Conservative Party,New_York
795,District 9,Green Party,New_York
796,District 9,Independence Party,New_York
797,District 9,Reform Party,New_York
798,District 9,Women's Equality Party,New_York
799,District 9,Working Families Party,New_York
800,District 9,Yvette D. Clarke,New_York
801,District 9,Lutchi Gayot,New_York
802,District 9,Joel Anabilah-Azumah,New_York
803,District 9,Fusion voting,New_York
804,District 9,"<img alt=""Working Families Party"" src=""https://cdn.ballotpedia.org/images/6/63/Darkgreen.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
805,District 9,"<img alt=""Darkred.png"" src=""https://cdn.ballotpedia.org/images/4/42/Darkred.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
806,District 10,Democratic,New_York
807,District 10,Republican,New_York
808,District 10,Conservative Party,New_York
809,District 10,Green Party,New_York
810,District 10,Independence Party,New_York
811,District 10,Reform Party,New_York
812,District 10,Women's Equality Party,New_York
813,District 10,Working Families Party,New_York
814,District 10,Jerrold Nadler,New_York
815,District 10,Naomi Levin,New_York
816,District 10,Fusion voting,New_York
817,District 10,"<img alt=""Working Families Party"" src=""https://cdn.ballotpedia.org/images/6/63/Darkgreen.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
818,District 10,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
819,District 11,Democratic,New_York
820,District 11,Republican,New_York
821,District 11,Conservative Party,New_York
822,District 11,Green Party,New_York
823,District 11,Independence Party,New_York
824,District 11,Reform Party,New_York
825,District 11,Women's Equality Party,New_York
826,District 11,Working Families Party,New_York
827,District 11,Daniel Donovan,New_York
828,District 11,Max Rose,New_York
829,District 11,Henry Bardel,New_York
830,District 11,Fusion voting,New_York
831,District 11,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
832,District 11,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
833,District 11,&#91;7&#93;,New_York
834,District 12,Democratic,New_York
835,District 12,Republican,New_York
836,District 12,Conservative Party,New_York
837,District 12,Green Party,New_York
838,District 12,Independence Party,New_York
839,District 12,Reform Party,New_York
840,District 12,Women's Equality Party,New_York
841,District 12,Working Families Party,New_York
842,District 12,Carolyn B. Maloney,New_York
843,District 12,Eliot Rabin,New_York
844,District 12,Scott Hutchins,New_York
845,District 12,Fusion voting,New_York
846,District 12,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
847,District 13,Democratic,New_York
848,District 13,Republican,New_York
849,District 13,Conservative Party,New_York
850,District 13,Green Party,New_York
851,District 13,Independence Party,New_York
852,District 13,Reform Party,New_York
853,District 13,Women's Equality Party,New_York
854,District 13,Working Families Party,New_York
855,District 13,Adriano Espaillat,New_York
856,District 13,Jineea Butler,New_York
857,District 13,Fusion voting,New_York
858,District 13,"<img alt=""Working Families Party"" src=""https://cdn.ballotpedia.org/images/6/63/Darkgreen.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
859,District 13,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
860,District 14,Democratic,New_York
861,District 14,Republican,New_York
862,District 14,Conservative Party,New_York
863,District 14,Green Party,New_York
864,District 14,Independence Party,New_York
865,District 14,Reform Party,New_York
866,District 14,Women's Equality Party,New_York
867,District 14,Working Families Party,New_York
868,District 14,Joseph Crowley,New_York
869,District 14,Alexandria Ocasio-Cortez,New_York
870,District 14,Anthony Pappas,New_York
871,District 14,Elizabeth Perri,New_York
872,District 14,James Dillon,New_York
873,District 14,Fusion voting,New_York
874,District 14,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
875,District 15,Democratic,New_York
876,District 15,Republican,New_York
877,District 15,Conservative Party,New_York
878,District 15,Green Party,New_York
879,District 15,Independence Party,New_York
880,District 15,Reform Party,New_York
881,District 15,Women's Equality Party,New_York
882,District 15,Working Families Party,New_York
883,District 15,José Serrano,New_York
884,District 15,Jason Gonzalez,New_York
885,District 15,Fusion voting,New_York
886,District 15,"<img alt=""Working Families Party"" src=""https://cdn.ballotpedia.org/images/6/63/Darkgreen.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
887,District 15,"<img alt=""Darkred.png"" src=""https://cdn.ballotpedia.org/images/4/42/Darkred.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
888,District 16,Democratic,New_York
889,District 16,Republican,New_York
890,District 16,Conservative Party,New_York
891,District 16,Green Party,New_York
892,District 16,Independence Party,New_York
893,District 16,Reform Party,New_York
894,District 16,Women's Equality Party,New_York
895,District 16,Working Families Party,New_York
896,District 16,Eliot Engel,New_York
897,District 16,Fusion voting,New_York
898,District 16,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
899,District 17,Democratic,New_York
900,District 17,Republican,New_York
901,District 17,Conservative Party,New_York
902,District 17,Green Party,New_York
903,District 17,Independence Party,New_York
904,District 17,Reform Party,New_York
905,District 17,Women's Equality Party,New_York
906,District 17,Working Families Party,New_York
907,District 17,Nita Lowey,New_York
908,District 17,Joseph Ciardullo,New_York
909,District 17,Fusion voting,New_York
910,District 17,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
911,District 18,Democratic,New_York
912,District 18,Republican,New_York
913,District 18,Conservative Party,New_York
914,District 18,Green Party,New_York
915,District 18,Independence Party,New_York
916,District 18,Reform Party,New_York
917,District 18,Women's Equality Party,New_York
918,District 18,Working Families Party,New_York
919,District 18,Sean Maloney,New_York
920,District 18,James O&#39;Donnell,New_York
921,District 18,Alex Fernandez,New_York
922,District 18,Fusion voting,New_York
923,District 18,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
924,District 18,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
925,District 19,Democratic,New_York
926,District 19,Republican,New_York
927,District 19,Conservative Party,New_York
928,District 19,Green Party,New_York
929,District 19,Independence Party,New_York
930,District 19,Reform Party,New_York
931,District 19,Women's Equality Party,New_York
932,District 19,Working Families Party,New_York
933,District 19,John Faso,New_York
934,District 19,Antonio Delgado,New_York
935,District 19,Steven Greenfield,New_York
936,District 19,Diane Neal,New_York
937,District 19,Chad McEvoy,New_York
938,District 19,Bob Cohen,New_York
939,District 19,Luisa Parker,New_York
940,District 19,Victoria Alexander,New_York
941,District 19,Dal LaMagna,New_York
942,District 19,Fusion voting,New_York
943,District 19,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
944,District 19,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
945,District 20,Democratic,New_York
946,District 20,Republican,New_York
947,District 20,Conservative Party,New_York
948,District 20,Green Party,New_York
949,District 20,Independence Party,New_York
950,District 20,Reform Party,New_York
951,District 20,Women's Equality Party,New_York
952,District 20,Working Families Party,New_York
953,District 20,Paul Tonko,New_York
954,District 20,Joe Vitollo,New_York
955,District 20,Fusion voting,New_York
956,District 20,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
957,District 21,Democratic,New_York
958,District 21,Republican,New_York
959,District 21,Conservative Party,New_York
960,District 21,Green Party,New_York
961,District 21,Independence Party,New_York
962,District 21,Reform Party,New_York
963,District 21,Women's Equality Party,New_York
964,District 21,Working Families Party,New_York
965,District 21,Elise Stefanik,New_York
966,District 21,Tedra Cobb,New_York
967,District 21,Lynn Kahn,New_York
968,District 21,Dylan Ratigan,New_York
969,District 21,Katie Wilson,New_York
970,District 21,Steve Krieg,New_York
971,District 21,Chris Schmidt,New_York
972,District 21,Fusion voting,New_York
973,District 21,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
974,District 21,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
975,District 22,Democratic,New_York
976,District 22,Republican,New_York
977,District 22,Conservative Party,New_York
978,District 22,Green Party,New_York
979,District 22,Independence Party,New_York
980,District 22,Reform Party,New_York
981,District 22,Women's Equality Party,New_York
982,District 22,Working Families Party,New_York
983,District 22,Claudia Tenney,New_York
984,District 22,Anthony Brindisi,New_York
985,District 22,Fusion voting,New_York
986,District 22,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
987,District 22,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
988,District 23,Democratic,New_York
989,District 23,Republican,New_York
990,District 23,Conservative Party,New_York
991,District 23,Green Party,New_York
992,District 23,Independence Party,New_York
993,District 23,Reform Party,New_York
994,District 23,Women's Equality Party,New_York
995,District 23,Working Families Party,New_York
996,District 23,Tom Reed,New_York
997,District 23,Tracy Mitrano,New_York
998,District 23,John Hertzler,New_York
999,District 23,James Clasby,New_York
1000,District 23,Fusion voting,New_York
1001,District 23,"<img alt=""Independence Party of America"" src=""https://cdn.ballotpedia.org/images/4/45/Darkpurple.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
1002,District 23,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
1003,District 24,Democratic,New_York
1004,District 24,Republican,New_York
1005,District 24,Conservative Party,New_York
1006,District 24,Green Party,New_York
1007,District 24,Independence Party,New_York
1008,District 24,Reform Party,New_York
1009,District 24,Women's Equality Party,New_York
1010,District 24,Working Families Party,New_York
1011,District 24,John Katko,New_York
1012,District 24,Dana Balter,New_York
1013,District 24,Bill Bass,New_York
1014,District 24,Fusion voting,New_York
1015,District 24,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
1016,District 24,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
1017,District 25,Democratic,New_York
1018,District 25,Republican,New_York
1019,District 25,Conservative Party,New_York
1020,District 25,Green Party,New_York
1021,District 25,Independence Party,New_York
1022,District 25,Reform Party,New_York
1023,District 25,Women's Equality Party,New_York
1024,District 25,Working Families Party,New_York
1025,District 25,Joseph Morelle,New_York
1026,District 25,James Maxwell,New_York
1027,District 25,Fusion voting,New_York
1028,District 25,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
1029,District 25,"<img alt=""Reform Party"" src=""https://cdn.ballotpedia.org/images/e/e0/Blueslashed.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
1030,District 26,Democratic,New_York
1031,District 26,Republican,New_York
1032,District 26,Conservative Party,New_York
1033,District 26,Green Party,New_York
1034,District 26,Independence Party,New_York
1035,District 26,Reform Party,New_York
1036,District 26,Women's Equality Party,New_York
1037,District 26,Working Families Party,New_York
1038,District 26,Brian Higgins,New_York
1039,District 26,Renee Zeno,New_York
1040,District 26,Fusion voting,New_York
1041,District 26,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
1042,District 27,Democratic,New_York
1043,District 27,Republican,New_York
1044,District 27,Conservative Party,New_York
1045,District 27,Green Party,New_York
1046,District 27,Independence Party,New_York
1047,District 27,Reform Party,New_York
1048,District 27,Women's Equality Party,New_York
1049,District 27,Working Families Party,New_York
1050,District 27,Chris Collins,New_York
1051,District 27,Nate McMurray,New_York
1052,District 27,Larry Piegza,New_York
1053,District 27,Michael Zak,New_York
1054,District 27,Fusion voting,New_York
1055,District 27,"<img alt=""Independence Party of America"" src=""https://cdn.ballotpedia.org/images/4/45/Darkpurple.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
1056,District 27,"<img alt=""Women&#39;s Equality Party"" src=""https://cdn.ballotpedia.org/images/2/2d/Purple-Green-Half_Dot-Women%27s_Equality_Party.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"" />",New_York
1057,District 3,Walter Jones</span>,North_Carolina
1058,District 1,G.K. Butterfield,North_Carolina
1059,District 1,Roger Allison,North_Carolina
1060,District 2,George Holding,North_Carolina
1061,District 2,Linda Coleman,North_Carolina
1062,District 2,Jeff Matemu,North_Carolina
1063,District 3,"<img alt=""Republican Party"" src=""https://cdn.ballotpedia.org/images/f/fd/Ends.png"" width=""18"" height=""18"" data-file-width=""16"" data-file-height=""16"">",North_Carolina
1064,District 3,"<img alt=""Walter B. Jones.jpg"" src=""https://ballotpedia.s3.amazonaws.com/images/thumb/5/56/Walter_B._Jones.jpg/150px-Walter_B._Jones.jpg?AWSAccessKeyId=AKIAJYSMGSWZEGREQP4Q&amp;Expires=1540250187&amp;Signature=4jqnf42SBy8TE6O1bTDVNhgGc7s%3D"" width=""150"" height=""183"" srcset=""https://ballotpedia.s3.amazonaws.com/images/thumb/5/56/Walter_B._Jones.jpg/225px-Walter_B._Jones.jpg?AWSAccessKeyId=AKIAJYSMGSWZEGREQP4Q&amp;Expires=1540250187&amp;Signature=8jVFS27uDe6BMvpCQFxCuuHqTRs%3D 1.5x, https://ballotpedia.s3.amazonaws.com/images/thumb/5/56/Walter_B._Jones.jpg/300px-Walter_B._Jones.jpg?AWSAccessKeyId=AKIAJYSMGSWZEGREQP4Q&amp;Expires=1540250187&amp;Signature=xWTKruVQq9apbMg7fNw19RapVUM%3D 2x"" data-file-width=""450"" data-file-height=""550"" />",North_Carolina
1065,District 3,"<img alt=""Twitter"" src=""https://ballotpedia.s3.amazonaws.com/images/thumb/f/fb/Bajaber_Twitter.png/30px-Bajaber_Twitter.png?AWSAccessKeyId=AKIAJYSMGSWZEGREQP4Q&amp;Expires=1540250188&amp;Signature=fFjmxCNUZySn7gwkzrcqvycdk2Y%3D"" width=""30"" height=""30"" srcset=""https://ballotpedia.s3.amazonaws.com/images/thumb/f/fb/Bajaber_Twitter.png/45px-Bajaber_Twitter.png?AWSAccessKeyId=AKIAJYSMGSWZEGREQP4Q&amp;Expires=1540250188&amp;Signature=7MEuFRzKt10hODEEp5juf9SBGqM%3D 1.5x, https://ballotpedia.s3.amazonaws.com/images/thumb/f/fb/Bajaber_Twitter.png/60px-Bajaber_Twitter.png?AWSAccessKeyId=AKIAJYSMGSWZEGREQP4Q&amp;Expires=1540250188&amp;Signature=dgJZz3f%2FAbMKq3YGlyl0N9B%2FW7I%3D 2x"" data-file-width=""512"" data-file-height=""512"" />",North_Carolina
1066,District 3,&#91;4&#93;,North_Carolina
1067,District 4,David Price,North_Carolina
1068,District 4,Steve Von Loor,North_Carolina
1069,District 4,Barbara Howe,North_Carolina
1070,District 5,Virginia Foxx,North_Carolina
1071,District 5,Denise Adams,North_Carolina
1072,District 6,Mark Walker,North_Carolina
1073,District 6,Ryan Watts,North_Carolina
1074,District 7,David Rouzer,North_Carolina
1075,District 7,Kyle Horton,North_Carolina
1076,District 7,David Fallin,North_Carolina
1077,District 8,Richard Hudson,North_Carolina
1078,District 8,Frank McNeill,North_Carolina
1079,District 9,Dan McCready,North_Carolina
1080,District 9,Mark Harris,North_Carolina
1081,District 9,Jeff Scott,North_Carolina
1082,District 10,Patrick McHenry,North_Carolina
1083,District 10,David Wilson Brown,North_Carolina
1084,District 11,Mark Meadows,North_Carolina
1085,District 11,Phillip Price,North_Carolina
1086,District 11,Clifton Ingram Jr.,North_Carolina
1087,District 12,Alma Adams,North_Carolina
1088,District 12,Paul Wright,North_Carolina
1089,District 13,Ted Budd,North_Carolina
1090,District 13,Kathy Manning,North_Carolina
1091,District 13,Tom Bailey,North_Carolina
1092,District 13,Robert Corriher,North_Carolina
1093,,Mac Schneider,North_Dakota
1094,,Kelly Armstrong,North_Dakota
1095,,Charles Tuttle,North_Dakota
1096,District 1,Steve Chabot,Ohio
1097,District 1,Aftab Pureval,Ohio
1098,District 1,Dirk Kubala,Ohio
1099,District 1,Mike Goldschmidt,Ohio
1100,District 1,Kiumars Kiani,Ohio
1101,District 2,Brad Wenstrup,Ohio
1102,District 2,Jill Schiller,Ohio
1103,District 2,James Condit Jr.,Ohio
1104,District 2,Steve Myers,Ohio
1105,District 2,David Baker,Ohio
1106,District 3,Joyce Beatty,Ohio
1107,District 3,Jim Burgess,Ohio
1108,District 3,Millie Milam,Ohio
1109,District 4,Jim Jordan,Ohio
1110,District 4,Janet Garrett,Ohio
1111,District 4,"Norbert Dennerll, Jr.",Ohio
1112,District 5,Bob Latta,Ohio
1113,District 5,John Michael Galbraith,Ohio
1114,District 5,Don Kissick,Ohio
1115,District 6,Bill Johnson,Ohio
1116,District 6,Shawna Roberts,Ohio
1117,District 7,Bob Gibbs,Ohio
1118,District 7,Ken Harbaugh,Ohio
1119,District 8,Warren Davidson,Ohio
1120,District 8,Vanessa Enoch,Ohio
1121,District 8,Stephen D. Shaw,Ohio
1122,District 9,Marcy Kaptur,Ohio
1123,District 9,Steven Kraus,Ohio
1124,District 9,McKenzie Levindofske,Ohio
1125,District 10,Michael Turner,Ohio
1126,District 10,Theresa Gasper,Ohio
1127,District 10,David Harlow,Ohio
1128,District 11,Marcia Fudge,Ohio
1129,District 11,Beverly Goldstein,Ohio
1130,District 11,James Jerome Bell,Ohio
1131,District 12,Troy Balderson,Ohio
1132,District 12,Danny O&#39;Connor,Ohio
1133,District 12,Joe Manchik,Ohio
1134,District 12,Jonathan Veley,Ohio
1135,District 12,Matthew Brendan O&#39;Connor,Ohio
1136,District 12,Marc Fagin,Ohio
1137,District 13,Tim Ryan,Ohio
1138,District 13,Christopher DePizzo,Ohio
1139,District 14,David Joyce,Ohio
1140,District 14,Betsy Rader,Ohio
1141,District 14,David Macko,Ohio
1142,District 15,Steve Stivers,Ohio
1143,District 15,Rick Neal,Ohio
1144,District 15,Johnathan Miller Jr.,Ohio
1145,District 16,Susan Moran Palmer,Ohio
1146,District 16,Anthony Gonzalez,Ohio
1147,District 1,Suzanne Bonamici,Oregon
1148,District 1,John Verbeek,Oregon
1149,District 1,Drew Layda,Oregon
1150,District 2,Greg Walden,Oregon
1151,District 2,Jamie McLeod-Skinner,Oregon
1152,District 2,Mark Roberts,Oregon
1153,District 3,Earl Blumenauer,Oregon
1154,District 3,Michael P. Marsh,Oregon
1155,District 3,Marc Koller,Oregon
1156,District 3,Gary Dye,Oregon
1157,District 4,Peter DeFazio,Oregon
1158,District 4,Art Robinson,Oregon
1159,District 4,Richard Jacobson,Oregon
1160,District 4,Michael Beilstein,Oregon
1161,District 5,Kurt Schrader,Oregon
1162,District 5,Mark Callahan,Oregon
1163,District 5,Dan Souza,Oregon
1164,District 5,Marvin Sandnes,Oregon
1165,District 1,Brian Fitzpatrick,Pennsylvania
1166,District 1,Scott Wallace,Pennsylvania
1167,District 1,Steve Scheetz,Pennsylvania
1168,District 2,Brendan Boyle,Pennsylvania
1169,District 2,David Torres,Pennsylvania
1170,District 3,Dwight Evans,Pennsylvania
1171,District 3,Bryan Leib,Pennsylvania
1172,District 4,Madeleine Dean,Pennsylvania
1173,District 4,Dan David,Pennsylvania
1174,District 5,Mary Gay Scanlon,Pennsylvania
1175,District 5,Pearl Kim,Pennsylvania
1176,District 6,Chrissy Houlahan,Pennsylvania
1177,District 6,Greg McCauley,Pennsylvania
1178,District 7,Susan Wild,Pennsylvania
1179,District 7,Marty Nothstein,Pennsylvania
1180,District 7,Tim Silfies,Pennsylvania
1181,District 8,Matt Cartwright,Pennsylvania
1182,District 8,John Chrin,Pennsylvania
1183,District 9,Denny Wolff,Pennsylvania
1184,District 9,Dan Meuser,Pennsylvania
1185,District 10,George Scott,Pennsylvania
1186,District 10,Scott Perry,Pennsylvania
1187,District 11,Lloyd Smucker,Pennsylvania
1188,District 11,Jessica King,Pennsylvania
1189,District 12,Marc Friedenberg,Pennsylvania
1190,District 12,Tom Marino,Pennsylvania
1191,District 13,Brent Ottaway,Pennsylvania
1192,District 13,John Joyce,Pennsylvania
1193,District 14,Bibiana Boerio,Pennsylvania
1194,District 14,Guy Reschenthaler,Pennsylvania
1195,District 15,Glenn Thompson,Pennsylvania
1196,District 15,Susan Boser,Pennsylvania
1197,District 16,Mike Kelly,Pennsylvania
1198,District 16,Ronald DiNicola,Pennsylvania
1199,District 16,Ebert Beeman,Pennsylvania
1200,District 17,Conor Lamb,Pennsylvania
