,district,name,state,chamber,party,incumbent
490,District 1,Mark Holbrook,Maine,house,Republican Party,False
491,District 1,Martin Grohman,Maine,house,Independent Party,False
492,District 2,Bruce Poliquin,Maine,house,Republican Party,True
493,District 2,Jared Golden,Maine,house,Democratic Party,False
494,District 2,Tiffany Bond,Maine,house,Independent Party,False
495,District 2,Will Hoar,Maine,house,Independent Party,False
496,District 2,Dennis O'Connor,Maine,house,,False
497,District 2,Danielle VanHelsing,Maine,house,,False
498,District 2,Henry John Bear,Maine,house,,False
499,District 1,Andy Harris,Maryland,house,Republican Party,False
500,District 1,Jesse Colvin,Maryland,house,Democratic Party,False
501,District 1,Jenica Martin,Maryland,house,Libertarian Party,False
502,District 2,Dutch Ruppersberger,Maryland,house,Democratic Party,True
503,District 2,Liz Matory,Maryland,house,Republican Party,False
504,District 2,Guy Mimoun,Maryland,house,Green Party,False
505,District 2,Michael Carney,Maryland,house,Libertarian Party,False
506,District 3,John Sarbanes,Maryland,house,,False
507,District 3,Charles Anthony,Maryland,house,Republican Party,False
508,District 3,David Lashar,Maryland,house,Libertarian Party,False
509,District 4,Anthony Brown,Maryland,house,Maryland Party,False
510,District 4,George McDermott,Maryland,house,Republican Party,False
511,District 4,David Bishop,Maryland,house,Libertarian Party,False
512,District 5,Steny Hoyer,Maryland,house,,False
513,District 5,William Devine III,Maryland,house,Republican Party,False
514,District 5,Jacob Pulcher,Maryland,house,Libertarian Party,False
515,District 5,Patrick Elder,Maryland,house,Green Party,False
516,District 6,David Trone,Maryland,house,Democratic Party,False
517,District 6,Amie Hoeber,Maryland,house,Republican Party,False
518,District 6,George Gluck,Maryland,house,Green Party,False
519,District 6,Kevin Caldwell,Maryland,house,Libertarian Party,False
520,District 6,Ted Athey,Maryland,house,,False
521,District 7,Elijah Cummings,Maryland,house,,False
522,District 7,Richmond Davis,Maryland,house,Republican Party,False
523,District 7,David Griggs,Maryland,house,Libertarian Party,False
524,District 8,Jamie Raskin,Maryland,house,,False
525,District 8,John Walsh,Maryland,house,Republican Party,False
526,District 8,Jasen Wunder,Maryland,house,Libertarian Party,False
527,District 1,Richard Neal,Massachusetts,house,Democratic Party,True
528,District 2,Jim McGovern,Massachusetts,house,Massachusetts Party,True
529,District 2,Tracy Lovvorn,Massachusetts,house,Republican Party,False
530,District 2,Paul Grady,Massachusetts,house,,False
531,District 3,Lori Trahan,Massachusetts,house,Democratic Party,False
532,District 3,Rick Green,Massachusetts,house,Republican Party,False
533,District 3,Mike Mullen,Massachusetts,house,Independent Party,False
534,District 4,Joseph Kennedy III,Massachusetts,house,Democratic Party,True
535,District 5,Katherine Clark,Massachusetts,house,Democratic Party,True
536,District 5,John Hugo,Massachusetts,house,Republican Party,False
537,District 6,Seth Moulton,Massachusetts,house,Democratic Party,True
538,District 6,Joseph Schneider,Massachusetts,house,Republican Party,False
539,District 6,Mary Jean Charbonneau,Massachusetts,house,Independent Party,False
540,District 7,Ayanna Pressley,Massachusetts,house,Democratic Party,False
541,District 8,Stephen Lynch,Massachusetts,house,Democratic Party,True
542,District 9,Bill Keating,Massachusetts,house,Democratic Party,True
543,District 9,Peter Tedeschi,Massachusetts,house,Republican Party,False
544,District 1,Jack Bergman,Michigan,house,Republican Party,True
545,District 1,Matthew Morgan,Michigan,house,Democratic Party,False
546,District 2,Bill Huizenga,Michigan,house,,False
547,District 2,Rob Davidson,Michigan,house,Democratic Party,False
548,District 2,Ronald Graeser,Michigan,house,U.S. Taxpayers Party,False
549,District 3,Justin Amash,Michigan,house,,False
550,District 3,Cathy Albro,Michigan,house,,False
551,District 3,Ted Gerrard,Michigan,house,,False
552,District 4,John Moolenaar,Michigan,house,,False
553,District 4,Jerry Hilliard,Michigan,house,,False
554,District 5,Dan Kildee,Michigan,house,,False
555,District 5,Travis Wines,Michigan,house,Republican Party,False
556,District 5,Kathy Goodwin,Michigan,house,Working Class Party,False
557,District 6,Fred Upton,Michigan,house,,False
558,District 6,Matt Longjohn,Michigan,house,Democratic Party,False
559,District 6,Stephen J. Young,Michigan,house,U.S. Taxpayers Party,False
560,District 7,Tim Walberg,Michigan,house,,False
561,District 7,Gretchen Driskell,Michigan,house,Democratic Party,False
562,District 8,Mike Bishop,Michigan,house,,False
563,District 8,Elissa Slotkin,Michigan,house,,False
564,District 8,Brian Ellison,Michigan,house,,False
565,District 8,David Jay Lillis,Michigan,house,,False
566,District 9,Andy Levin,Michigan,house,,False
567,District 9,Candius Stearns,Michigan,house,,False
568,District 9,John McDermott,Michigan,house,,False
569,District 9,Andrea Kirby,Michigan,house,,False
570,District 10,Paul Mitchell,Michigan,house,,False
571,District 10,Kimberly Bizon,Michigan,house,,False
572,District 10,Harley Mikkelson,Michigan,house,,False
573,District 10,Jeremy Peruski,Michigan,house,,False
574,District 11,Haley Stevens,Michigan,house,,False
575,District 11,Lena Epstein,Michigan,house,,False
576,District 11,Leonard Schwartz ,Michigan,house,,False
577,District 11,Cooper Nye,Michigan,house,,False
578,District 12,Debbie Dingell,Michigan,house,,False
579,District 12,Jeff Jones,Michigan,house,Republican Party,False
580,District 12,Steve Young,Michigan,house,,False
581,District 12,Niles Niemuth,Michigan,house,Independent Party,False
582,District 12,Gary Walkowicz,Michigan,house,Working Class Party,False
583,District 13,Rashida Tlaib,Michigan,house,Democratic Party,False
584,District 13,D. Etta Wilcoxon,Michigan,house,Green Party,False
585,District 13,Sam Johnson,Michigan,house,Working Class Party,False
586,District 14,Brenda Lawrence,Michigan,house,,False
587,District 14,Marc Herschfus,Michigan,house,Republican Party,False
588,District 14,Philip Kolody,Michigan,house,Working Class Party,False
589,District 2,Jason Lewis,Minnesota,house,Minnesota Party,True
590,District 2,Angie Craig,Minnesota,house,Democratic Party,False
591,District 2,Bradley Svenson,Minnesota,house,,False
592,District 3,Erik Paulsen,Minnesota,house,Republican Party,True
593,District 3,Dean Phillips,Minnesota,house,Democratic Party,False
594,District 4,Betty McCollum,Minnesota,house,Democratic Party,True
595,District 4,Greg Ryan,Minnesota,house,Republican Party,False
596,District 4,Susan Pendergast Sindt,Minnesota,house,Legal Marijuana Now Party Party,False
597,District 5,Ilhan Omar,Minnesota,house,Democratic Party,False
598,District 5,Jennifer Zielinski,Minnesota,house,Republican Party,False
599,District 5,Les Lester,Minnesota,house,Green Party,False
600,District 6,Tom Emmer,Minnesota,house,Republican Party,True
601,District 6,Ian Todd,Minnesota,house,Democratic Party,False
602,District 7,Collin Peterson,Minnesota,house,Democratic Party,True
603,District 7,Dave Hughes,Minnesota,house,Republican Party,False
604,District 1,Trent Kelly,Mississippi,house,Republican Party,True
605,District 1,Randy Wadkins,Mississippi,house,Democratic Party,False
606,District 1,Tracella Lou O'Hara Hill,Mississippi,house,Grey.png,False
607,District 2,Bennie Thompson,Mississippi,house,,True
608,District 2,Troy Ray,Mississippi,house,Grey.png,False
609,District 2,Irving Harris,Mississippi,house,Grey.png,False
610,District 3,Michael Evans,Mississippi,house,Democratic Party,False
611,District 3,Michael Guest,Mississippi,house,Republican Party,False
612,District 3,Matthew Holland,Mississippi,house,Grey.png,False
613,District 4,Steven Palazzo,Mississippi,house,,True
614,District 4,Jeramey Anderson,Mississippi,house,Democratic Party,False
615,District 4,Lajena Sheets,Mississippi,house,Grey.png,False
616,District 1,William Lacy Clay,Missouri,house,Democratic Party,True
617,District 1,Robert Vroman,Missouri,house,Republican Party,False
618,District 1,Robb Cunningham,Missouri,house,Libertarian Party,False
619,,Greg Gianforte,Montana,house,Republican Party,False
620,,Kathleen Williams,Montana,house,Democratic Party,False
621,,Elinor Swanson,Montana,house,Libertarian Party,False
622,,Doug Campbell,Montana,house,,False
623,District 1,Jeff Fortenberry,Nebraska,house,Republican Party,True
624,District 1,Jessica McClure,Nebraska,house,Democratic Party,False
625,District 2,Don Bacon,Nebraska,house,,True
626,District 2,Kara Eastman,Nebraska,house,Democratic Party,False
627,District 3,Adrian Smith,Nebraska,house,,True
628,District 3,Paul Theobald,Nebraska,house,Democratic Party,False
629,District 1,Dina Titus,Nevada,house,Democratic Party,True
630,District 1,Joyce Bentley,Nevada,house,Republican Party,False
631,District 1,Daniel Garfield,Nevada,house,Independent American Party Party,False
632,District 1,Robert Van Strawder,Nevada,house,Libertarian Party,False
633,District 2,Mark Amodei,Nevada,house,Republican Party,True
634,District 2,Clint Koble,Nevada,house,Democratic Party,False
635,District 3,Susie Lee,Nevada,house,Democratic Party,False
636,District 3,Danny Tarkanian,Nevada,house,Republican Party,False
637,District 3,Harry Vickers,Nevada,house,Independent American Party Party,False
638,District 3,Steven Brown,Nevada,house,Libertarian Party,False
639,District 3,Gilbert Eisner,Nevada,house,Independent Party,False
640,District 3,David Goossen,Nevada,house,Independent Party,False
641,District 3,Tony Gumina,Nevada,house,Independent Party,False
642,District 4,Steven Horsford,Nevada,house,Democratic Party,False
643,District 4,Cresent Hardy,Nevada,house,Republican Party,False
644,District 4,Warren Markowitz,Nevada,house,Independent American Party Party,False
645,District 4,Gregg Luckner,Nevada,house,Libertarian Party,False
646,District 4,Dean McGonigle,Nevada,house,Independent Party,False
647,District 4,Rodney Smith,Nevada,house,Independent Party,False
648,,Chris Pappas,New_Hampshire,house,Democratic Party,False
649,,Eddie Edwards,New_Hampshire,house,Republican Party,False
650,,Dan Belforti,New_Hampshire,house,Libertarian Party,False
651,,Shawn O&#39;Connor,New_Hampshire,house,Independent Party,False
652,District 1,Donald Norcross,New_Jersey,house,Democratic Party,True
653,District 1,Paul Dilks,New_Jersey,house,Republican Party,False
654,District 1,Robert Shapiro,New_Jersey,house,Libertarian Party,False
655,District 1,Paul Hamlin,New_Jersey,house,Grey.png,False
656,District 1,Mohammad Kabir,New_Jersey,house,Grey.png,False
657,District 2,Jeff Van Drew,New_Jersey,house,Democratic Party,False
658,District 2,Seth Grossman,New_Jersey,house,Republican Party,False
659,District 2,John Ordille,New_Jersey,house,Libertarian Party,False
660,District 2,Anthony Parisi Sanchez,New_Jersey,house,Grey.png,False
661,District 2,William Benfer,New_Jersey,house,Grey.png,False
662,District 2,Steven Fenichel,New_Jersey,house,Grey.png,False
663,District 3,Tom MacArthur,New_Jersey,house,,True
664,District 3,Andrew Kim,New_Jersey,house,Democratic Party,False
665,District 3,Lawrence Berlinski Jr.,New_Jersey,house,Constitution Party,False
666,District 4,Chris Smith,New_Jersey,house,New Jersey Party,True
667,District 4,Josh Welle,New_Jersey,house,Democratic Party,False
668,District 4,Michael Rufo,New_Jersey,house,Libertarian Party,False
669,District 4,Brian Reynolds,New_Jersey,house,Grey.png,False
670,District 4,Edward Stackhouse Jr.,New_Jersey,house,Grey.png,False
671,District 4,Felicia Stoler,New_Jersey,house,Grey.png,False
672,District 4,Allen Yusufov,New_Jersey,house,Grey.png,False
673,District 5,Josh Gottheimer,New_Jersey,house,,True
674,District 5,John McCann,New_Jersey,house,Republican Party,False
675,District 5,James Tosone,New_Jersey,house,Libertarian Party,False
676,District 5,Wendy Goetz,New_Jersey,house,Grey.png,False
677,District 6,Frank Pallone,New_Jersey,house,,True
678,District 6,Rich Pezzullo,New_Jersey,house,Republican Party,False
679,District 7,Leonard Lance,New_Jersey,house,,True
680,District 7,Tom Malinowski,New_Jersey,house,Democratic Party,False
681,District 7,Diane Moxley,New_Jersey,house,Green Party,False
682,District 7,Gregg Mele,New_Jersey,house,Grey.png,False
683,District 8,Albio Sires,New_Jersey,house,,True
684,District 8,John Muniz,New_Jersey,house,Republican Party,False
685,District 8,Dan Delaney,New_Jersey,house,Libertarian Party,False
686,District 8,Mahmoud Mahmoud,New_Jersey,house,Grey.png,False
687,District 9,Bill Pascrell,New_Jersey,house,,True
688,District 9,Eric Fisher,New_Jersey,house,Republican Party,False
689,District 9,Claudio Belusic,New_Jersey,house,Libertarian Party,False
690,District 10,Donald Payne Jr.,New_Jersey,house,,True
691,District 10,Agha Khan,New_Jersey,house,Republican Party,False
692,District 10,Scott DiRoma,New_Jersey,house,Libertarian Party,False
693,District 10,Cynthia Johnson,New_Jersey,house,Grey.png,False
694,District 10,Joan Miller,New_Jersey,house,Grey.png,False
695,District 11,Mikie Sherrill,New_Jersey,house,Democratic Party,False
696,District 11,Jay Webber,New_Jersey,house,Republican Party,False
697,District 11,Ryan Martinez,New_Jersey,house,Libertarian Party,False
698,District 11,Robert Crook,New_Jersey,house,Grey.png,False
699,District 12,Bonnie Watson Coleman,New_Jersey,house,,True
700,District 12,Daryl Kipnis,New_Jersey,house,Republican Party,False
701,District 1,Debra Haaland,New_Mexico,house,Democratic Party,False
702,District 1,Janice Arnold-Jones,New_Mexico,house,Republican Party,False
703,District 1,Lloyd Princeton,New_Mexico,house,Libertarian Party,False
704,District 2,Xochitl Torres Small,New_Mexico,house,Democratic Party,False
705,District 2,Yvette Herrell,New_Mexico,house,Republican Party,False
706,District 3,Ben Ray Lujan,New_Mexico,house,,True
707,District 3,Jerald Steve McFall,New_Mexico,house,Republican Party,False
708,District 3,Christopher Manning,New_Mexico,house,Libertarian Party,False
709,District 1,Lee Zeldin,New_York,house,Republican Party,True
710,District 1,Perry Gershon,New_York,house,Democratic Party,False
711,District 1,Kate Browning,New_York,house,Women&#39;s Equality Party Party,False
712,District 1,Patricia Latzman,New_York,house,Working Families Party Party,False
713,District 2,Peter King,New_York,house,Republican Party,True
714,District 2,Liuba Grechen Shirley,New_York,house,Democratic Party,False
715,District 3,Tom Suozzi,New_York,house,Democratic Party,True
716,District 3,Dan DeBono,New_York,house,Republican Party,False
717,District 3,Josh Sauberman,New_York,house,,False
718,District 3,Costa Michailidis,New_York,house,,False
719,District 4,Kathleen Rice,New_York,house,Democratic Party,True
720,District 4,Ameer Benno,New_York,house,Republican Party,False
721,District 6,Grace Meng,New_York,house,Democratic Party,True
722,District 6,Tom Hillgardner,New_York,house,Green Party,False
723,District 7,Nydia Velazquez,New_York,house,Democratic Party,True
724,District 7,Joseph Lieberman,New_York,house,Conservative Party Party,False
725,District 7,Jeffrey Kurzon,New_York,house,Reform Party Party,False
726,District 8,Hakeem Jeffries,New_York,house,Democratic Party,True
727,District 8,Ernest Johnson,New_York,house,Conservative Party Party,False
728,District 8,Jessica White,New_York,house,Reform Party Party,False
729,District 9,Yvette D. Clarke,New_York,house,Democratic Party,True
730,District 9,Lutchi Gayot,New_York,house,Republican Party,False
731,District 9,Joel Anabilah-Azumah,New_York,house,Reform Party Party,False
732,District 10,Jerrold Nadler,New_York,house,Democratic Party,True
733,District 10,Naomi Levin,New_York,house,Republican Party,False
734,District 11,Daniel Donovan,New_York,house,New York Party,True
735,District 11,Max Rose,New_York,house,Democratic Party,False
736,District 11,Henry Bardel,New_York,house,Green Party,False
737,District 12,Carolyn B. Maloney,New_York,house,Democratic Party,True
738,District 12,Eliot Rabin,New_York,house,Republican Party,False
739,District 12,Scott Hutchins,New_York,house,Green Party,False
740,District 13,Adriano Espaillat,New_York,house,Democratic Party,True
741,District 13,Jineea Butler,New_York,house,Republican Party,False
742,District 14,Joseph Crowley,New_York,house,,True
743,District 14,Alexandria Ocasio-Cortez,New_York,house,Democratic Party,False
744,District 14,Anthony Pappas,New_York,house,Republican Party,False
745,District 14,Elizabeth Perri,New_York,house,Conservative Party Party,False
746,District 14,James Dillon,New_York,house,,False
747,District 15,José Serrano,New_York,house,Democratic Party,True
748,District 15,Jason Gonzalez,New_York,house,Republican Party,False
749,District 16,Eliot Engel,New_York,house,Democratic Party,True
750,District 17,Nita Lowey,New_York,house,Democratic Party,True
751,District 17,Joseph Ciardullo,New_York,house,Reform Party Party,False
752,District 18,Sean Maloney,New_York,house,Democratic Party,True
753,District 18,James O'Donnell,New_York,house,Republican Party,False
754,District 18,Alex Fernandez,New_York,house,,False
755,District 19,John Faso,New_York,house,Republican Party,True
756,District 19,Antonio Delgado,New_York,house,Democratic Party,False
757,District 19,Steven Greenfield,New_York,house,Green Party,False
758,District 19,Diane Neal,New_York,house,Independent Party,False
759,District 19,Chad McEvoy,New_York,house,,False
760,District 19,Bob Cohen,New_York,house,,False
761,District 19,Luisa Parker,New_York,house,,False
762,District 19,Victoria Alexander,New_York,house,,False
763,District 19,Dal LaMagna,New_York,house,,False
764,District 20,Paul Tonko,New_York,house,Democratic Party,True
765,District 20,Joe Vitollo,New_York,house,Republican Party,False
766,District 21,Elise Stefanik,New_York,house,Republican Party,True
767,District 21,Tedra Cobb,New_York,house,Democratic Party,False
768,District 21,Lynn Kahn,New_York,house,Green Party,False
769,District 21,Dylan Ratigan,New_York,house,,False
770,District 21,Katie Wilson,New_York,house,,False
771,District 21,Steve Krieg,New_York,house,,False
772,District 21,Chris Schmidt,New_York,house,,False
773,District 22,Claudia Tenney,New_York,house,Republican Party,True
774,District 22,Anthony Brindisi,New_York,house,Democratic Party,False
775,District 23,Tom Reed,New_York,house,Republican Party,True
776,District 23,Tracy Mitrano,New_York,house,Democratic Party,False
777,District 23,John Hertzler,New_York,house,,False
778,District 23,James Clasby,New_York,house,,False
779,District 24,John Katko,New_York,house,Republican Party,True
780,District 24,Dana Balter,New_York,house,Democratic Party,False
781,District 24,Bill Bass,New_York,house,,False
782,District 25,Joseph Morelle,New_York,house,Democratic Party,False
783,District 25,James Maxwell,New_York,house,Republican Party,False
784,District 26,Brian Higgins,New_York,house,Democratic Party,True
785,District 26,Renee Zeno,New_York,house,Republican Party,False
786,District 27,Chris Collins,New_York,house,Republican Party,True
787,District 27,Nate McMurray,New_York,house,Democratic Party,False
788,District 27,Larry Piegza,New_York,house,Reform Party Party,False
789,District 27,Michael Zak,New_York,house,,False
790,District 3,Walter Jones,North_Carolina,house,,False
791,District 1,G.K. Butterfield,North_Carolina,house,Democratic Party,True
792,District 1,Roger Allison,North_Carolina,house,Republican Party,False
793,District 2,George Holding,North_Carolina,house,,True
794,District 2,Linda Coleman,North_Carolina,house,Democratic Party,False
795,District 2,Jeff Matemu,North_Carolina,house,Libertarian Party,False
796,District 3,Phil Law,North_Carolina,house,,False
797,District 3,Scott Dacey,North_Carolina,house,,False
798,District 4,David Price,North_Carolina,house,,True
799,District 4,Steve Von Loor,North_Carolina,house,Republican Party,False
800,District 4,Barbara Howe,North_Carolina,house,Libertarian Party,False
801,District 5,Virginia Foxx,North_Carolina,house,,True
802,District 5,Denise Adams,North_Carolina,house,Democratic Party,False
803,District 6,Mark Walker,North_Carolina,house,North Carolina Party,True
804,District 6,Ryan Watts,North_Carolina,house,Democratic Party,False
805,District 7,David Rouzer,North_Carolina,house,,True
806,District 7,Kyle Horton,North_Carolina,house,Democratic Party,False
807,District 7,David Fallin,North_Carolina,house,Constitution Party,False
808,District 8,Richard Hudson,North_Carolina,house,,True
809,District 8,Frank McNeill,North_Carolina,house,Democratic Party,False
810,District 9,Dan McCready,North_Carolina,house,Democratic Party,False
811,District 9,Mark Harris,North_Carolina,house,Republican Party,False
812,District 9,Jeff Scott,North_Carolina,house,Libertarian Party,False
813,District 10,Patrick McHenry,North_Carolina,house,,True
814,District 10,David Wilson Brown,North_Carolina,house,Democratic Party,False
815,District 11,Mark Meadows,North_Carolina,house,North Carolina Party,True
816,District 11,Phillip Price,North_Carolina,house,Democratic Party,False
817,District 11,Clifton Ingram Jr.,North_Carolina,house,Libertarian Party,False
818,District 12,Alma Adams,North_Carolina,house,,True
819,District 12,Paul Wright,North_Carolina,house,Republican Party,False
820,District 13,Ted Budd,North_Carolina,house,,True
821,District 13,Kathy Manning,North_Carolina,house,Democratic Party,False
822,District 13,Tom Bailey,North_Carolina,house,Libertarian Party,False
823,District 13,Robert Corriher,North_Carolina,house,Green Party,False
824,,Mac Schneider,North_Dakota,house,Democratic Party,False
825,,Kelly Armstrong,North_Dakota,house,Republican Party,False
826,,Charles Tuttle,North_Dakota,house,Independent Party,False
827,District 1,Steve Chabot,Ohio,house,Republican Party,True
828,District 1,Aftab Pureval,Ohio,house,Democratic Party,False
829,District 1,Dirk Kubala,Ohio,house,Libertarian Party,False
830,District 1,Mike Goldschmidt,Ohio,house,,False
831,District 1,Kiumars Kiani,Ohio,house,,False
832,District 2,Brad Wenstrup,Ohio,house,Republican Party,True
833,District 2,Jill Schiller,Ohio,house,Democratic Party,False
834,District 2,James Condit Jr.,Ohio,house,Green Party,False
835,District 2,Steve Myers,Ohio,house,,False
836,District 2,David Baker,Ohio,house,Ohio Party,False
837,District 3,Joyce Beatty,Ohio,house,Democratic Party,True
838,District 3,Jim Burgess,Ohio,house,Republican Party,False
839,District 3,Millie Milam,Ohio,house,,False
840,District 4,Jim Jordan,Ohio,house,Ohio Party,True
841,District 4,Janet Garrett,Ohio,house,Democratic Party,False
842,District 4,"Norbert Dennerll, Jr.",Ohio,house,,False
843,District 5,Bob Latta,Ohio,house,Republican Party,True
844,District 5,John Michael Galbraith,Ohio,house,Democratic Party,False
845,District 5,Don Kissick,Ohio,house,Libertarian Party,False
846,District 6,Bill Johnson,Ohio,house,Ohio Party,True
847,District 6,Shawna Roberts,Ohio,house,Democratic Party,False
848,District 7,Bob Gibbs,Ohio,house,Republican Party,True
849,District 7,Ken Harbaugh,Ohio,house,Democratic Party,False
850,District 8,Warren Davidson,Ohio,house,Republican Party,True
851,District 8,Vanessa Enoch,Ohio,house,Democratic Party,False
852,District 8,Stephen D. Shaw,Ohio,house,,False
853,District 9,Marcy Kaptur,Ohio,house,Democratic Party,True
854,District 9,Steven Kraus,Ohio,house,Republican Party,False
855,District 9,McKenzie Levindofske,Ohio,house,,False
856,District 10,Michael Turner,Ohio,house,Ohio Party,True
857,District 10,Theresa Gasper,Ohio,house,Democratic Party,False
858,District 10,David Harlow,Ohio,house,Libertarian Party,False
859,District 11,Marcia Fudge,Ohio,house,Democratic Party,True
860,District 11,Beverly Goldstein,Ohio,house,Republican Party,False
861,District 11,James Jerome Bell,Ohio,house,,False
862,District 12,Troy Balderson,Ohio,house,Republican Party,True
863,District 12,Danny O'Connor,Ohio,house,,False
864,District 12,Joe Manchik,Ohio,house,Green Party,False
865,District 12,Jonathan Veley,Ohio,house,,False
866,District 12,Matthew Brendan O&#39;Connor,Ohio,house,,False
867,District 12,Marc Fagin,Ohio,house,,False
868,District 13,Tim Ryan,Ohio,house,Ohio Party,True
869,District 13,Christopher DePizzo,Ohio,house,Republican Party,False
870,District 14,David Joyce,Ohio,house,Republican Party,True
871,District 14,Betsy Rader,Ohio,house,Democratic Party,False
872,District 14,David Macko,Ohio,house,,False
873,District 15,Steve Stivers,Ohio,house,Republican Party,True
874,District 15,Rick Neal,Ohio,house,Democratic Party,False
875,District 15,Johnathan Miller Jr.,Ohio,house,Libertarian Party,False
876,District 16,Susan Moran Palmer,Ohio,house,Democratic Party,False
877,District 16,Anthony Gonzalez,Ohio,house,Republican Party,False
878,District 1,Tim Gilpin,Oklahoma,house,Democratic Party,False
879,District 1,Kevin Hern,Oklahoma,house,Republican Party,False
880,District 2,Markwayne Mullin,Oklahoma,house,,False
881,District 2,Jason Nichols,Oklahoma,house,Democratic Party,False
882,District 2,Richard Castaldo,Oklahoma,house,Libertarian Party,False
883,District 2,John Foreman,Oklahoma,house,Independent Party,False
884,District 3,Frank Lucas,Oklahoma,house,,False
885,District 3,Frankie Robbins,Oklahoma,house,Democratic Party,False
886,District 4,Tom Cole,Oklahoma,house,Oklahoma Party,False
887,District 4,Mary Brannon,Oklahoma,house,Democratic Party,False
888,District 4,Ruby Peters,Oklahoma,house,Independent Party,False
889,District 5,Steve Russell,Oklahoma,house,,False
890,District 5,Kendra Horn,Oklahoma,house,Democratic Party,False
891,District 1,Suzanne Bonamici,Oregon,house,Democratic Party,True
892,District 1,John Verbeek,Oregon,house,Republican Party,False
893,District 1,Drew Layda,Oregon,house,Libertarian Party,False
894,District 2,Greg Walden,Oregon,house,Republican Party,True
895,District 2,Jamie McLeod-Skinner,Oregon,house,Democratic Party,False
896,District 2,Mark Roberts,Oregon,house,Independent Party of Oregon Party,False
897,District 3,Earl Blumenauer,Oregon,house,Democratic Party,True
898,District 3,Michael P. Marsh,Oregon,house,Constitution Party Party,False
899,District 3,Marc Koller,Oregon,house,Independent Party of Oregon Party,False
900,District 3,Gary Dye,Oregon,house,Libertarian Party,False
901,District 4,Peter DeFazio,Oregon,house,Democratic Party,True
902,District 4,Art Robinson,Oregon,house,Republican Party,False
903,District 4,Richard Jacobson,Oregon,house,Libertarian Party,False
904,District 4,Michael Beilstein,Oregon,house,Pacific Green Party Party,False
905,District 5,Kurt Schrader,Oregon,house,Democratic Party,True
906,District 5,Mark Callahan,Oregon,house,Republican Party,False
907,District 5,Dan Souza,Oregon,house,Libertarian Party,False
908,District 5,Marvin Sandnes,Oregon,house,Pacific Green Party Party,False
909,District 1,Brian Fitzpatrick,Pennsylvania,house,Republican Party,False
910,District 1,Scott Wallace,Pennsylvania,house,Democratic Party,False
911,District 1,Steve Scheetz,Pennsylvania,house,Libertarian Party,False
912,District 2,Brendan Boyle,Pennsylvania,house,,False
913,District 2,David Torres,Pennsylvania,house,Republican Party,False
914,District 3,Dwight Evans,Pennsylvania,house,,False
915,District 3,Bryan Leib,Pennsylvania,house,Republican Party,False
916,District 4,Madeleine Dean,Pennsylvania,house,Democratic Party,False
917,District 4,Dan David,Pennsylvania,house,Republican Party,False
918,District 5,Mary Gay Scanlon,Pennsylvania,house,Democratic Party,False
919,District 5,Pearl Kim,Pennsylvania,house,Republican Party,False
920,District 6,Chrissy Houlahan,Pennsylvania,house,Democratic Party,False
921,District 6,Greg McCauley,Pennsylvania,house,Republican Party,False
922,District 7,Susan Wild,Pennsylvania,house,Democratic Party,False
923,District 7,Marty Nothstein,Pennsylvania,house,Republican Party,False
924,District 7,Tim Silfies,Pennsylvania,house,Libertarian Party,False
925,District 8,Matt Cartwright,Pennsylvania,house,,False
926,District 8,John Chrin,Pennsylvania,house,Republican Party,False
927,District 9,Denny Wolff,Pennsylvania,house,Democratic Party,False
928,District 9,Dan Meuser,Pennsylvania,house,Republican Party,False
929,District 10,George Scott,Pennsylvania,house,Democratic Party,False
930,District 10,Scott Perry,Pennsylvania,house,,False
931,District 11,Lloyd Smucker,Pennsylvania,house,,False
932,District 11,Jessica King,Pennsylvania,house,Democratic Party,False
933,District 12,Marc Friedenberg,Pennsylvania,house,Democratic Party,False
934,District 12,Tom Marino,Pennsylvania,house,,False
935,District 13,Brent Ottaway,Pennsylvania,house,Democratic Party,False
936,District 13,John Joyce,Pennsylvania,house,Republican Party,False
937,District 14,Bibiana Boerio,Pennsylvania,house,Democratic Party,False
938,District 14,Guy Reschenthaler,Pennsylvania,house,Republican Party,False
939,District 15,Glenn Thompson,Pennsylvania,house,Pennsylvania Party,False
940,District 15,Susan Boser,Pennsylvania,house,Democratic Party,False
941,District 16,Mike Kelly,Pennsylvania,house,Pennsylvania Party,False
942,District 16,Ronald DiNicola,Pennsylvania,house,Democratic Party,False
943,District 16,Ebert Beeman,Pennsylvania,house,Libertarian Party,False
944,District 17,Conor Lamb,Pennsylvania,house,Democratic Party,True
945,District 17,Keith Rothfus,Pennsylvania,house,Republican Party,True
946,District 18,Michael Doyle,Pennsylvania,house,Pennsylvania Congress Party,True
947,District 1,David N. Cicilline,Rhode_Island,house,Democratic Party,True
948,District 1,Patrick Donovan,Rhode_Island,house,Republican Party,False
949,District 1,Daniel Guilmette,Rhode_Island,house,,False
950,District 2,Jim Langevin,Rhode_Island,house,Democratic Party,True
951,District 2,Salvatore Caiozzo,Rhode_Island,house,Republican Party,False
952,District 1,Joe Cunningham,South_Carolina,house,Democratic Party,False
953,District 1,Katie Arrington,South_Carolina,house,Republican Party,False
954,District 2,Joe Wilson,South_Carolina,house,South Carolina Party,True
955,District 2,Sean Carrigan,South_Carolina,house,Democratic Party,False
956,District 2,Sonny Narang,South_Carolina,house,Grey.png,False
957,District 3,Jeff Duncan,South_Carolina,house,South Carolina Party,True
958,District 3,Mary Geren,South_Carolina,house,Democratic Party,False
